arstists_with_nations
artist; nation
Skryptonite, Райда;RU
Poshlaya Molly, Eldzhey;RU
Charlie Puth, Jung Kook, BTS;EN
KALUSH, Jerry Heil;UA
Big Baby Tape, Молодой Платон;RU
Miyagi & Andy Panda, Mav-d;RU
Cypis;EN
Violetta Sokolova;RU
Calvin Harris, Dua Lipa;EN
SODA LUV, BUSHIDO ZHO;RU
Tiësto, Ava Max;EN
pyrokinesis, MUKKA;RU
Lil Nas X, Jack Harlow;EN
MORGENSHTERN;RU
ROCKET;RU
shadowraze, GENJUTSU;RU
Minelli;EN
ooes;RU
Artem Pivovarov, KALUSH;UA
Markul;RU
Kambulat;RU
Nervy;RU/
LIZER;RU
Poshlaya Molly;RU
конец солнечных дней;RU
SHADXWBXRN;EN
ZODIVK;EN
Xcho;RU
zhanulka;RU
BONES;EN
shadowraze, shinra;RU
OG Buda, MAYOT;RU
OG Buda, Scally Milano, 163ONMYNECK;RU
Медовий Полин;UA
Мері;UA
Дора, MAYBE BABY;RU
semmmyq, shinra;RU
Перемотка;RU
Boulevard Depo;RU
OG Buda, 17 SEVENTEEN, MAYOT;RU
Antytila;UA
Платина, Дора;RU
GAYLE;EN
JojoHF, nevroz;RU
Три дня дождя;RU
GAYAZOV$ BROTHER$;RU
Alyona Shvets;RU
BRANYA, MACAN;RU
Kaito Shoma, DJ Paul, Kingpin Skinny Pimp;EN
OG Buda, Дора;RU
КОСМОНАВТОВ НЕТ;RU
nkeeei, uniqe, ARTEM SHILOVETS, SAGARA;RU
LXST CXNTURY, Kingpin Skinny Pimp;EN
нексюша;RU
PSY, SUGA;EN
niteboi;RU
Олександр Пономарьов, Михайло Хома, Тарас Тополя, Євген Кошовий, Юрій Ткач, Петро Чорний;UA
Ghostface Playa, fkbambam;EN
MACAN;RU
Платина;RU
THRILL PILL;RU
163ONMYNECK;RU
Дора;RU
Ed Sheeran;EN
BEZ OBMEZHEN;UA
Дайте танк (!);UA
Go_A;UA
BOTASHE;UA
Платина, OG Buda, MAYOT;RU
Платина, Big Baby Tape;RU
Nikitata;RU
Папин Олимпос;RU
The Yurcash;UA
pyrokinesis;RU
Skryabin;UA
Griffinilla;EN
Даня Милохин, Mumiy Troll;RU
Sqwore;RU
LIL KRYSTALLL;RU
OBLADAET;RU
Lusia Chebotina;RU
BoyWithUke;EN
Xdinary Heroes;EN
DSPRITE;RU
Boulevard Depo, SP4K;RU
payton;EN
Miyagi & Andy Panda, TumaniYO;RU
Egor Kreed;RU
LOBODA;RU/
Wham!;EN
Ollane, MiyaGi;RU
HammAli & Navai, MACAN;RU
Bobby Helms;EN
Twinky;RU
Benedixhion;RU
METAN;RU
Mnogoznaal;RU
Mariah Carey;EN
Brenda Lee;EN
siouxxie sixxsta;EN
SALES;EN
SODA LUV;RU
Sqwore, rizza;RU
HammAli & Navai;RU
The Rare Occasions;EN
Pornofilmy;RU
MORGENSHTERN, SODA LUV, OG Buda, blago white, MAYOT;RU
Rakhim, JONY;RU
10AGE;RU
Elton John, Dua Lipa, PNAU;EN
Ежемесячные;RU
HammAli & Navai, Jah Khalib;RU
LISA;EN
Tiësto;EN
OBLADAET, THRILL PILL;RU
SODA LUV, WHY, BERRY;RU
GUMA;RU
IC3PEAK, Oli Sykes, Bring Me The Horizon;RU/
DEAD BLONDE;RU
Skryptonite, 104;RU
Grigory Leps, Irina Allegrova;RU
JONY, HammAli;RU
MiyaGi;RU
ACRAZE, Cherish;EN
Ivan Dorn;UA
escape, Даня Милохин;RU
NЮ;RU
Adele;EN
MiyaGi & Endspiel, Rem Digga;RU
OG Buda, Polyana;RU
Pathetic;EN
SLAVA MARLOW, Aarne;RU
Dzharakhov, Markul;RU
Tima Belorusskih;RU
Masked Wolf;EN
SODA LUV, MORGENSHTERN;RU
OBLADAET, JEEMBO;RU
Kaito Shoma;EN
Sia;EN
Swedish House Mafia, The Weeknd;EN
Doja Cat;EN
Jaymes Young;EN
Geegun, Egor Kreed, The Limba, blago white, OG Buda, Timati, SODA LUV, GUF;RU
Ezekiel;EN
