rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:48fzAdCxamFYCHNXXLk6zn","shadowraze","showdown","Союз Мьюзик",1,1,5,"203441"
2,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",1,2,23,"132538"
3,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH, Kalush Orchestra","Stefania (Kalush Orchestra)","Columbia Local",2,4,8,"117090"
4,"spotify:track:48jRCynldeK3WQbvd3jr73","zxcursed","never enough","A+",4,8,4,"89512"
5,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",5,9,41,"87508"
6,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",2,6,33,"87015"
7,"spotify:track:5jXocrsUwpKwWyI5BZLKFA","shadowraze, LXNER, quiizzzmeow","adaptive strike","SAVAGE$TATION",2,5,8,"85609"
8,"spotify:track:7biChppM3c8q7qcVl7ceb2","FACE","ЛАБИРИНТ","Face",8,14,20,"85603"
9,"spotify:track:2B9N1fCinwxEo89GcDGB5I","MORGENSHTERN","12","MORGENSHTERN",3,3,4,"83488"
10,"spotify:track:1K2ORdYBMvi5h4FvQn5hpX","Мюслі UA","Вова, їбаш їх блять","мюслі UA",10,-1,1,"79456"
11,"spotify:track:6tlU1yG1HdSrbbbfQN3NH3","zxcursed","bankai","zxcursed",11,-1,1,"79404"
12,"spotify:track:3lCZxajTCSYR5OnHPEfa2v","Cypis","Putin","Cypisolo",5,7,6,"76689"
13,"spotify:track:4CK9NEdPWB6rJ8N6BU20pN","ПОЛМАТЕРИ","ярче звёзд","Streaming Club, under exclusive license to Rhymes Music Inc.",12,12,3,"75583"
14,"spotify:track:0cCXLN9eUn6dmAgDPpZaJV","jockii druce","шо ви браття","3761125 Records DK",12,13,4,"72782"
15,"spotify:track:6GyZQ9o0dBU9V0NIjGPz2r","FACE","Домино","Face",15,22,15,"72237"
16,"spotify:track:0xEET0hVtwAEI5iVMWmD5C","shadowraze","shadowfiend","Gamma Music",5,10,31,"70882"
