rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH, Kalush Orchestra","Stefania (Kalush Orchestra)","Columbia Local",1,3,13,"159701"
2,"spotify:track:48fzAdCxamFYCHNXXLk6zn","shadowraze","showdown","Союз Мьюзик",1,1,10,"138083"
3,"spotify:track:1K2ORdYBMvi5h4FvQn5hpX","Мюслі UA","Вова, їбаш їх блять","мюслі UA",2,2,6,"137029"
4,"spotify:track:5it0QwktdpQ7oE33PbImkX","Ed Sheeran, Antytila","2step (feat. Antytila)","Atlantic Records UK",4,10,2,"113378"
5,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",5,5,46,"106776"
6,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",1,4,28,"99233"
7,"spotify:track:5mGns7qagKDzP4L2YC5ea2","Chico, Qatoshi","Допоможе ЗСУ","Naprocente music",7,17,2,"94623"
8,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",5,6,6,"86472"
9,"spotify:track:6keRNvHKCOhmySQa1jCX8P","KALUSH, Tember Blanche","Калуські вечорниці (feat. Tember Blanche)","Columbia Local",9,9,21,"77602"
10,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",2,7,38,"75692"
11,"spotify:track:4LKfJMumpW7HyBT05uXYUx","Khrystyna Soloviy","Тримай","ТОВ ""Суперсиметрія""",8,8,12,"68757"
12,"spotify:track:48jRCynldeK3WQbvd3jr73","zxcursed","never enough","A+",4,14,9,"68296"
13,"spotify:track:5jXocrsUwpKwWyI5BZLKFA","shadowraze, LXNER, quiizzzmeow","adaptive strike","SAVAGE$TATION",2,12,13,"64732"
14,"spotify:track:0cCXLN9eUn6dmAgDPpZaJV","jockii druce","шо ви браття","3761125 Records DK",11,13,9,"64722"
15,"spotify:track:4jvw60Iw8LpSRJwy1sOmoB","Шайни","Yeyo!","Mansion Music",11,25,13,"62460"
16,"spotify:track:1ghdJUMhmLEpUitNwyNMWH","fem.love","Фотографирую закат","A+",2,23,58,"60143"
17,"spotify:track:3lCZxajTCSYR5OnHPEfa2v","Cypis","Putin","Cypisolo",5,18,11,"59203"
18,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",14,21,34,"58275"
19,"spotify:track:4ZOjdqmXLuwHDQUn9WWoFR","Минин","Зелёный глаз","VHQ Distribution",7,20,13,"58046"
20,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Juggernaut Music Group",20,31,81,"57868"
