rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0r9fpWPI6z3V3YZXIiVaNC","Big Baby Tape, kizaru","99 Problems","KISS KOALA",1,1,3,"362278"
2,"spotify:track:16AzcbKli3UQsxj491hJLQ","Big Baby Tape, kizaru","Bandana","KISS KOALA",1,2,3,"292454"
3,"spotify:track:4umjgYILQbHyV41ZmaemQm","Big Baby Tape, kizaru","Million","KISS KOALA",3,3,3,"291297"
4,"spotify:track:6h2f5GrfpXo6eZCxUdzvF2","Big Baby Tape, kizaru","Mama Makusa","KISS KOALA",4,4,3,"172172"
5,"spotify:track:0h3jDrGXvkETn0xJRcZOJ9","Big Baby Tape, kizaru","Dirrt","KISS KOALA",5,5,3,"153091"
6,"spotify:track:66jiJ5DX54pWNBL2Vt2859","Big Baby Tape, kizaru","Big Tymers","KISS KOALA",6,6,3,"142810"
7,"spotify:track:5Wr1F6BoB9BQ4wtlefGpK3","Big Baby Tape, kizaru","So Icy Nihao","KISS KOALA",7,7,3,"138610"
8,"spotify:track:7vbXtUsr3lSZtBzwL6lpVg","Big Baby Tape, kizaru","5 Nights Crazy","KISS KOALA",7,8,3,"124784"
9,"spotify:track:6PQu0Z6jxOIKzAorA66ma2","LIL KRYSTALLL","Mazzaleen","lil krystalll",9,92,2,"124393"
10,"spotify:track:2rowi7dF3AqhugMtAnvQmP","GONE.Fludd","TRAXXXMANIA","KISS KOALA",1,11,5,"118126"
11,"spotify:track:5shMiLCYjeNGe1WKikPg6T","Big Baby Tape, kizaru","Ride Or Die","KISS KOALA",10,10,3,"116635"
12,"spotify:track:4vvkdSOfuve7DBxsrVzVDP","Big Baby Tape, kizaru","Slip & Slide","KISS KOALA",9,9,3,"114688"
13,"spotify:track:07OqyOeHz7LOGVuXUx4pr3","Платина, Дора","Сан Ларан","РНБ КЛУБ",13,14,2,"103502"
14,"spotify:track:0VVa11kcXBGm99NgSiF8Rx","Big Baby Tape, kizaru","Andrew Story","KISS KOALA",11,13,3,"102651"
15,"spotify:track:2gQPv5jvVPqU2a9HhMNO1v","BoyWithUke","Toxic","Republic Records",15,18,4,"100056"
16,"spotify:track:5Pjmv35PxL2ByHadh1oRxN","Big Baby Tape, kizaru","Ladidadida","KISS KOALA",10,12,3,"98058"
17,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",17,32,2,"93426"
18,"spotify:track:2A6bj4o6EMJdCdXzcjMl72","Big Baby Tape, kizaru","Errbody Sleeping","KISS KOALA",13,15,3,"92958"
19,"spotify:track:5X1FYw7MXEgnPmQAYwAa0q","quiizzzmeow","Aomine Daiki","SAVAGE$TATION",1,17,6,"90146"
20,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",1,19,19,"85870"
21,"spotify:track:3U8JCs5aH9wLpQR08BuPJA","Big Baby Tape, kizaru","Bon Voyage","KISS KOALA",14,16,3,"84333"
22,"spotify:track:6m7QUKRStA95DXM4IS8eFD","Egor Kreed","LAMBO URUS","Warner Music Russia",4,22,4,"83317"
23,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",6,21,22,"82875"
24,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,24,16,"80073"
25,"spotify:track:0i8YObgqnjZYoYJOQbwLHq","Poshlaya Molly, Eldzhey","Дом Периньон","DROPBLED",5,20,8,"79900"
26,"spotify:track:0Rw4D9wutsFF7oMSStiiLb","Oxxxymiron","КТО УБИЛ МАРКА?","Oxxxymiron",26,81,2,"79472"
