rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5MAQgObkQo8YHICDRqdYcg","MORGENSHTERN, SODA LUV, OG Buda, blago white, MAYOT","Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","Atlantic Records Russia",1,-1,1,"161845"
2,"spotify:track:6bMhau29WoIMtIwGpmSj5Y","MORGENSHTERN","SHOW","Atlantic Records Russia",2,-1,1,"137806"
3,"spotify:track:2Db7e6H4R5XXnyuTtxUggp","MORGENSHTERN","ДУЛО","Atlantic Records Russia",1,1,2,"137554"
4,"spotify:track:1tzTlRMcw9xDqrNRzj3H2g","DEAD BLONDE","Мальчик на девятке","DEAD BLONDE",2,2,5,"111048"
5,"spotify:track:7zDT00UVHuzrHorboTTOq6","SLAVA MARLOW","КОМУ ЭТО НАДО?","Atlantic Records Russia",5,-1,1,"109654"
6,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,3,8,"92620"
7,"spotify:track:3VT8hOC5vuDXBsHrR53WFh","Masked Wolf","Astronaut In The Ocean","Elektra (NEK)",1,5,20,"91934"
8,"spotify:track:5uDXZnyjYTjaMxDIjFhXsC","MORGENSHTERN, Imanbek, Fetty Wap, KDDK","Leck","Effective Records",2,4,3,"86442"
9,"spotify:track:1nINIHobpPWexRP8ABH8bT","10AGE","Нету интереса","Legacy Music",2,7,9,"78866"
10,"spotify:track:4wT9xC986HKw6LMObnOLfr","SODA LUV","Тысячи рук","SODA LUV",10,16,2,"75346"
11,"spotify:track:3euwIpljAgZ47S6XnOWaA9","SODA LUV, WHY, BERRY","Бигасс","SODA LUV",7,12,11,"70865"
12,"spotify:track:4KiFqaxjnmVm0gyIPIRRgH","SEEMEE, SODA LUV","Голодный пёс [prod. by Pretty Scream]","cplus",2,9,17,"70602"
13,"spotify:track:53iGzPusAzNm0NaNrlWv8h","kizaru, Big Baby Tape","Stick Out","KISS KOALA",1,6,3,"67913"
14,"spotify:track:0BRbI3ZMPXuj9yA7ChDGOW","PlayaPhonk","Phonky Town","Arista Records",14,37,2,"66926"
15,"spotify:track:0gCOqruLa3pfDG73U7x5Hy","DEAD BLONDE","Бесприданница","GSPD",15,87,2,"64566"
16,"spotify:track:3y1fkvCTbBhNXQpR56KXYC","ooes","зима","ooes",16,40,2,"64067"
17,"spotify:track:748mdHapucXQri7IAO8yFK","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",10,10,6,"63531"
18,"spotify:track:1ghdJUMhmLEpUitNwyNMWH","fem.love","Фотографирую закат","A+",8,15,7,"59995"
19,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",5,13,27,"58096"
20,"spotify:track:1GOiMxQXZUzjzH0Sxpck0B","kizaru","Дежавю","KISS KOALA",1,17,45,"56648"
21,"spotify:track:3uCth4TIWyeQDnj3YbAVQB","Miyagi & Andy Panda","Патрон","Hajime Records",5,14,7,"55060"
22,"spotify:track:79i617mqpQLwUs3WTokYX9","Benedixhion","toxin","sadboisonlyclub",8,19,27,"52847"
23,"spotify:track:1FDMf01sTi7wkZ5RqUndTN","OG Buda, MAYOT","Добро Пожаловать (Prod. by wex & treepside)","cplus",19,22,4,"51889"
24,"spotify:track:2BITQ360Knh6qNAOqR7Dyq","Trippie Redd, Playboi Carti","Miss The Rage (feat. Playboi Carti)","1400 Entertainment / 10K Projects",8,8,2,"50961"
25,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",20,20,29,"49698"
26,"spotify:track:4KfmruShP5zOi9hYjM76e6","MORGENSHTERN","Cristal & МОЁТ","Atlantic Records Russia (Distribution)",1,26,21,"49460"
27,"spotify:track:3LiyBbbo5Negbgq9RV9qJa","SODA LUV","ХОТБОКС (prod. by Young Royce)","cplus",10,27,19,"48893"
28,"spotify:track:6ugYbXPyqfpYTtG9z6YRvH","SODA LUV, BUSHIDO ZHO","Коми","SODA LUV",14,28,25,"47196"
29,"spotify:track:37BZB0z9T8Xu7U3e65qxFy","The Weeknd, Ariana Grande","Save Your Tears (with Ariana Grande) (Remix)","Republic Records",12,18,4,"46890"
30,"spotify:track:7rRzijIIKQ8GntJ8IUwUyY","DJ SMASH, MORGENSHTERN","Новая волна","SHIRMAN/MORGENSHTERN/MANSION",2,25,7,"46529"
31,"spotify:track:2DYzsMQpO7xOw7b3JwyIWP","Korol i Shut","Кукла колдуна","United Music Group",5,21,43,"45942"
32,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,23,45,"45920"
33,"spotify:track:5qNh5WtzMbfpSj2jLlBkoD","Billie Eilish","Your Power","Darkroom/Interscope Records",6,11,3,"45385"
34,"spotify:track:1hfISzdAwnywAKxaSpfloo","Skryptonite","Положение","Gazgolder Records",10,29,45,"44438"
35,"spotify:track:2Z0OcpA4i1KayJbXn800le","Skryptonite","Чистый - OST «Псих»","Musica36",3,30,23,"41499"
36,"spotify:track:12Kknh5NqqAukiyevjDQkT","SLAVA MARLOW","ТЫ ГОРИШЬ КАК ОГОНЬ","Atlantic Records Russia",1,32,13,"41253"
37,"spotify:track:4M2O9at0fryRSQYVh3MgdK","uglystephan","Skamming Shit","Mansion Music",17,33,12,"38946"
38,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",14,24,9,"38519"
