rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:48fzAdCxamFYCHNXXLk6zn","shadowraze","showdown","Союз Мьюзик",1,-1,1,"507449"
2,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",1,1,19,"188978"
3,"spotify:track:5jXocrsUwpKwWyI5BZLKFA","shadowraze, LXNER, quiizzzmeow","adaptive strike","SAVAGE$TATION",2,3,4,"139020"
4,"spotify:track:0unPBMjVwn0HpWget3DBze","KALUSH, Kalush Orchestra","Stefania (Kalush Orchestra)","Columbia Local",2,2,4,"117046"
5,"spotify:track:0xEET0hVtwAEI5iVMWmD5C","shadowraze","shadowfiend","Gamma Music",5,6,27,"102115"
6,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",2,4,29,"97398"
7,"spotify:track:57V0VhEg1CAkPXeaCLikNW","shadowraze","juggernaut (Prod. by PLVSTIC)","Союз Мьюзик",7,7,30,"95773"
8,"spotify:track:1ghdJUMhmLEpUitNwyNMWH","fem.love","Фотографирую закат","A+",2,5,49,"91712"
9,"spotify:track:3auzaPW4fXa8oI4KbTalAU","shadowraze, babyswishh1","psiblades","Союз Мьюзик",9,9,23,"85538"
10,"spotify:track:3lCZxajTCSYR5OnHPEfa2v","Cypis","Putin","Cypisolo",10,58,2,"81159"
11,"spotify:track:2IMrzJTRHGndoUbM39QIJ7","shadowraze, GENJUTSU","1000-7","Союз Мьюзик",11,13,37,"80835"
12,"spotify:track:3yCKABoZU3FVFuyVBc5VlM","rizza, Sqwore","плачь","Adam Music",6,8,22,"77031"
13,"spotify:track:5X1FYw7MXEgnPmQAYwAa0q","quiizzzmeow","Aomine Daiki","SAVAGE$TATION",1,11,23,"76722"
14,"spotify:track:3mcw4dkjfzj5B4Ago9NSmN","uniqe, nkeeei, ARTEM SHILOVETS","ТОЛПЫ КРИЧАТ","steezy",1,12,24,"70652"
15,"spotify:track:4jvw60Iw8LpSRJwy1sOmoB","Шайни","Yeyo!","Mansion Music",11,14,4,"66804"
16,"spotify:track:0miDZPhTC5rLUc514v6Pck","Nekoglai","Cumback","THRILL PILL",16,-1,1,"63682"
17,"spotify:track:6fiQEMbqzE6CMrcHeukmGc","163ONMYNECK","ЖМУРКИ","AMC MUSIC",17,22,3,"60216"
18,"spotify:track:77B4S4jkrAkL3Ng5hEHoUU","GAYAZOV$ BROTHER$","МАЛИНОВАЯ ЛАДА","Warner Music Russia",2,15,10,"59556"
19,"spotify:track:0r9fpWPI6z3V3YZXIiVaNC","Big Baby Tape, kizaru","99 Problems","KISS KOALA",1,17,20,"59118"
20,"spotify:track:4tPB6H0QcK4bDib8iauE28","Alyona Shvets","первое свидание","rainbow flower",16,16,24,"58028"
21,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",6,21,39,"55271"
22,"spotify:track:16AzcbKli3UQsxj491hJLQ","Big Baby Tape, kizaru","Bandana","KISS KOALA",1,20,20,"54838"
23,"spotify:track:0H2ZDRzULQ8tIUvxUuTlqF","Okean Elzy","Не твоя війна","ТОВ ""Суперсиметрія""",10,10,2,"54605"
24,"spotify:track:4umjgYILQbHyV41ZmaemQm","Big Baby Tape, kizaru","Million","KISS KOALA",2,19,20,"54596"
25,"spotify:track:7biChppM3c8q7qcVl7ceb2","FACE","ЛАБИРИНТ","Face",23,23,16,"54524"
26,"spotify:track:7j6eSKC2Hv3lcElPyR1bP3","КОСМОНАВТОВ НЕТ","баночка с окурками","OOO Universal Music",3,18,10,"52293"
27,"spotify:track:3oIvvpkmjxdzd7NYNg5fxm","163ONMYNECK","ВЫКЛЮЧАТЕЛЬ","AMC MUSIC",27,29,3,"47018"
28,"spotify:track:1OeGvzNcGC2s6F41lmCdjA","remember.","Кожура","VAUVISION",1,24,12,"46091"
29,"spotify:track:1xASDcZcb869OkSu86Wbw8","вышел покурить","кладбище","Dying sky",29,36,42,"46005"
30,"spotify:track:1zE2dRkxtOLEOubAmqcHX3","JojoHF, nevroz","Первый раз - remix nevroz","JojoHF",26,28,22,"45927"
31,"spotify:track:1vLBDj2hhzAVskV5OUQ5d2","nkeeei, uniqe, ARTEM SHILOVETS, SAGARA","Лифон","KISS KOALA",6,25,15,"44581"
32,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",6,37,19,"44194"
33,"spotify:track:1pA2xy2nV5JjIjJxe5mhZE","Adecvat_production","За цвет голубых очей (Remix)","Студия СОЮЗ",33,-1,1,"43624"
34,"spotify:track:3bbkkPpf8AdRU6DurnvoC4","Big Baby Tape, Молодой Платон","ВЛЮБИЛАСЬ","OOO Universal Music",7,35,12,"42977"
35,"spotify:track:0VGLb6IeeG5ZqonN5EavDu","КАКАЯ РАЗНИЦА","Рассвет","Какая Разница",31,31,12,"42445"
36,"spotify:track:0z58HQdBeOGPCveLYfX6lO","semmmyq, shinra","untitled","Союз Мьюзик",32,32,38,"42439"
37,"spotify:track:2L2iWhBsyosVcxx36iurfa","fem.love","1000-7","A+",9,33,36,"40271"
38,"spotify:track:4LKfJMumpW7HyBT05uXYUx","Khrystyna Soloviy","Тримай","ТОВ ""Суперсиметрія""",38,38,3,"39949"
39,"spotify:track:1AMf9lmFOmLmb0e57QB78e","Дора, MAYBE BABY","Барбисайз","Streaming Club, under exclusive license to Rhymes Music Inc.",6,34,13,"39542"
40,"spotify:track:5hY09NvKjD3gBQS3qhriXD","ssshhhiiittt!","Танцы","ssshhhiiittt!",40,43,85,"39258"
41,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Juggernaut Music Group",41,53,72,"39255"
42,"spotify:track:6GyZQ9o0dBU9V0NIjGPz2r","FACE","Домино","Face",29,45,11,"38891"
43,"spotify:track:5561HkcMU0A4i3D6Tlsxhe","Okean Elzy","Обійми","ТОВ ""Суперсиметрія""",26,26,2,"38866"
44,"spotify:track:2rowi7dF3AqhugMtAnvQmP","GONE.Fludd","TRAXXXMANIA","KISS KOALA",1,40,22,"38382"
45,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",45,127,25,"37607"
46,"spotify:track:5mnpMkzp3Z2RCCbwIEZCbv","PlayaPhonk","Phonky Town","Arista Records",14,52,44,"37511"
47,"spotify:track:1MiUVjoHt4jiskDrt2ZHrq","LIL MORTY","Я пиздатый","Lil Morty",20,48,30,"37288"
48,"spotify:track:0KYvs7DKC7Cl5IHmwpP13f","KSLV Noh","Override","3066940 Records DK",48,49,2,"36301"
49,"spotify:track:1cmIuauHOxvxzTCFXFnNRL","Pornofilmy","В диапазоне","Порнофильмы",49,76,3,"36040"
50,"spotify:track:4ZOjdqmXLuwHDQUn9WWoFR","Минин","Зелёный глаз","VHQ Distribution",35,46,4,"35969"
51,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",33,75,20,"35958"
52,"spotify:track:4mTPviBGRgjPxeaQFnBDW3","Дора","Дорадура","Streaming Club, under exclusive license to Rhymes Music Inc.",33,44,63,"35840"
53,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",25,67,37,"35834"
54,"spotify:track:7rvEwAILTqxBpdIyUifkE8","Miyagi & Andy Panda, Mav-d","Marmalade","Hajime Records",6,63,16,"35816"
55,"spotify:track:2398GSLbctyjLClJrqskt2","Sqwore","Звезда упала","OOO Universal Music",6,42,15,"35276"
56,"spotify:track:3oN1sJcKLYbc8z4tO6sjVE","SHADXWBXRN","KNIGHT","SHADXWBXRN",56,-1,1,"34703"
57,"spotify:track:2mKa6WpSZ97avRyIlPKRK8","quiizzzmeow","сети","SAVAGE$TATION",5,50,12,"34579"
58,"spotify:track:1CqOEa4NIRBaWR6sNHTDTo","Перемотка","Как тебя покорить","UP!UP!UP! Music",51,51,44,"34482"
59,"spotify:track:0Y5i43d7YtHWyYulOojDXP","Okean Elzy","Без бою","ТОВ ""Суперсиметрія""",27,27,2,"34446"
60,"spotify:track:0ZGHCIFlJWqwB4TpG8LFbe","КОСМОНАВТОВ НЕТ","МЯТОЙ - remix 2010","OOO Universal Music",2,41,9,"34302"
61,"spotify:track:7EkWXAI1wn8Ii883ecd9xr","Surf Curse","Freaks","Surf Curse",45,57,46,"34219"
62,"spotify:track:4stWOQpaEynPUlVAb4Jtw9","СЕРЕГА ПИРАТ","Тп на аме","Streaming Club, under exclusive license to Rhymes Music Inc.",62,64,6,"33744"
63,"spotify:track:70IFNhUiuZohVFIQLFmgDY","BUSHIDO ZHO","макинтош бизнес онли","cplus",14,47,6,"33564"
64,"spotify:track:4xx37dCWh0zxsWsq4zg6GF","Griffinilla","Hard Drive","Griffinilla",64,137,2,"33563"
65,"spotify:track:1GOiMxQXZUzjzH0Sxpck0B","kizaru","Дежавю","KISS KOALA",1,68,87,"33457"
66,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",35,83,34,"33303"
67,"spotify:track:0sTlGEld0h8kIPZaKDYUf4","The Rare Occasions","Notion","Elektra (NEK)",55,55,13,"32754"
68,"spotify:track:2INWHGzw5qTbdeLDARChfe","Kambulat","Привет","Legacy Music",9,62,17,"32726"
69,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",52,89,9,"32482"
70,"spotify:track:0Mfjy6p9vZsfzbQReWdooZ","ooes","ночь","rabstvo",27,54,43,"32199"
71,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",1,72,36,"31782"
72,"spotify:track:0fLampmh4qsOLGitXM171a","PLOHOYPAREN","Таблетка","И.С.Б",55,74,6,"31563"
