rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0r9fpWPI6z3V3YZXIiVaNC","Big Baby Tape, kizaru","99 Problems","KISS KOALA",1,1,10,"176645"
2,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",2,2,9,"173687"
3,"spotify:track:4umjgYILQbHyV41ZmaemQm","Big Baby Tape, kizaru","Million","KISS KOALA",2,3,10,"160715"
4,"spotify:track:16AzcbKli3UQsxj491hJLQ","Big Baby Tape, kizaru","Bandana","KISS KOALA",1,4,10,"149719"
5,"spotify:track:1OeGvzNcGC2s6F41lmCdjA","remember.","Кожура","VAUVISION",5,66,2,"119548"
6,"spotify:track:1vLBDj2hhzAVskV5OUQ5d2","nkeeei, uniqe, ARTEM SHILOVETS, SAGARA","Лифон","KISS KOALA",6,8,5,"116106"
7,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",7,11,19,"112834"
8,"spotify:track:1AMf9lmFOmLmb0e57QB78e","Дора, MAYBE BABY","Барбисайз","Streaming Club, under exclusive license to Rhymes Music Inc.",8,45,3,"108195"
9,"spotify:track:7rvEwAILTqxBpdIyUifkE8","Miyagi & Andy Panda, Mav-d","Marmalade","Hajime Records",6,10,6,"105890"
10,"spotify:track:1r9xUipOqoNwggBpENDsvJ","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",6,9,9,"103352"
11,"spotify:track:1Kp2TF4fFYjJPqEMf1U0RK","OG Buda, 17 SEVENTEEN, MAYOT","Вина","KISSKOALA",6,6,2,"101906"
12,"spotify:track:2mKa6WpSZ97avRyIlPKRK8","quiizzzmeow","сети","SAVAGE$TATION",5,5,2,"99744"
13,"spotify:track:3mcw4dkjfzj5B4Ago9NSmN","uniqe, nkeeei, ARTEM SHILOVETS","ТОЛПЫ КРИЧАТ","steezy",1,19,14,"91349"
14,"spotify:track:3bbkkPpf8AdRU6DurnvoC4","Big Baby Tape, Молодой Платон","ВЛЮБИЛАСЬ","OOO Universal Music",7,7,2,"91318"
15,"spotify:track:2rowi7dF3AqhugMtAnvQmP","GONE.Fludd","TRAXXXMANIA","KISS KOALA",1,18,12,"89465"
16,"spotify:track:57V0VhEg1CAkPXeaCLikNW","shadowraze","juggernaut (Prod. by PLVSTIC)","Союз Мьюзик",16,22,20,"84108"
17,"spotify:track:5X1FYw7MXEgnPmQAYwAa0q","quiizzzmeow","Aomine Daiki","SAVAGE$TATION",1,20,13,"84009"
18,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",6,21,29,"81301"
19,"spotify:track:7gPyGGhy2cVVVOq5V5jUt4","Даня Милохин, Mumiy Troll","Башня","Atlantic Records Russia",4,17,5,"80575"
20,"spotify:track:0xEET0hVtwAEI5iVMWmD5C","shadowraze","shadowfiend","Gamma Music",20,30,17,"79256"
21,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",1,24,26,"77866"
22,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,23,23,"77654"
23,"spotify:track:3auzaPW4fXa8oI4KbTalAU","shadowraze, babyswishh1","psiblades","Союз Мьюзик",23,34,13,"76057"
24,"spotify:track:2EjXfH91m7f8HiJN1yQg97","Brenda Lee","Rockin' Around The Christmas Tree","MCA Nashville",9,52,10,"75499"
25,"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock","Geffen",8,46,10,"75360"
26,"spotify:track:07OqyOeHz7LOGVuXUx4pr3","Платина, Дора","Сан Ларан","РНБ КЛУБ",7,26,9,"75240"
27,"spotify:track:6h2f5GrfpXo6eZCxUdzvF2","Big Baby Tape, kizaru","Mama Makusa","KISS KOALA",4,25,10,"74713"
28,"spotify:track:5bA2HBafCfregvLZV4idXb","MORGENSHTERN","Домой","Atlantic Records Russia",5,14,3,"74083"
29,"spotify:track:1ghdJUMhmLEpUitNwyNMWH","fem.love","Фотографирую закат","A+",8,35,39,"73779"
30,"spotify:track:5YDBHDEIgWkfairCJgGApW","Lusia Chebotina","СОЛНЦЕ МОНАКО","RockFam",25,31,8,"73379"
31,"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Wham!","Last Christmas","Epic",6,44,10,"73069"
32,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,33,25,"72448"
33,"spotify:track:2IMrzJTRHGndoUbM39QIJ7","shadowraze, GENJUTSU","1000-7","Союз Мьюзик",33,41,27,"71533"
34,"spotify:track:2INWHGzw5qTbdeLDARChfe","Kambulat","Привет","Legacy Music",9,29,7,"71000"
35,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",11,27,5,"69781"
36,"spotify:track:3yCKABoZU3FVFuyVBc5VlM","rizza, Sqwore","плачь","Adam Music",19,38,12,"69534"
37,"spotify:track:49y9IcSwgoYR8YBBvwllP2","Max Korzh","Афган","Макс Корж",12,12,2,"68198"
38,"spotify:track:2398GSLbctyjLClJrqskt2","Sqwore","Звезда упала","OOO Universal Music",6,32,5,"67088"
39,"spotify:track:66jiJ5DX54pWNBL2Vt2859","Big Baby Tape, kizaru","Big Tymers","KISS KOALA",6,36,10,"66272"
40,"spotify:track:4mTPviBGRgjPxeaQFnBDW3","Дора","Дорадура","Streaming Club, under exclusive license to Rhymes Music Inc.",36,48,53,"64472"
41,"spotify:track:0h3jDrGXvkETn0xJRcZOJ9","Big Baby Tape, kizaru","Dirrt","KISS KOALA",5,42,10,"64377"
42,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",10,53,10,"64304"
43,"spotify:track:2L2iWhBsyosVcxx36iurfa","fem.love","1000-7","A+",9,55,26,"61479"
44,"spotify:track:79hOg2OcECgvRGGeX0XJuZ","PHARAOH, Mnogoznaal","Акид","Dead Dynasty",13,13,2,"60125"
45,"spotify:track:1xASDcZcb869OkSu86Wbw8","вышел покурить","кладбище","Dying sky",45,61,32,"59532"
46,"spotify:track:5Wr1F6BoB9BQ4wtlefGpK3","Big Baby Tape, kizaru","So Icy Nihao","KISS KOALA",7,49,10,"58684"
47,"spotify:track:5shMiLCYjeNGe1WKikPg6T","Big Baby Tape, kizaru","Ride Or Die","KISS KOALA",10,50,10,"58238"
48,"spotify:track:3uCth4TIWyeQDnj3YbAVQB","Miyagi & Andy Panda","Патрон","Hajime Records",5,57,39,"57991"
49,"spotify:track:0z58HQdBeOGPCveLYfX6lO","semmmyq, shinra","untitled","Союз Мьюзик",49,56,28,"56783"
50,"spotify:track:2DYzsMQpO7xOw7b3JwyIWP","Korol i Shut","Кукла колдуна","United Music Group",5,59,75,"56754"
51,"spotify:track:3dlrN8fcpdUx0t2I0QsMH2","Max Korzh","17 лет","Макс Корж",15,15,2,"56341"
52,"spotify:track:54ZhPL5soHKDxg9a5wizPv","INSTASAMKA","LIPSI HA","NaMneCash Music",1,54,16,"55839"
53,"spotify:track:0NPRigM2lZGGFW3OD48g43","Wellboy","Гуси","PAPA MUSIC",15,60,27,"55785"
54,"spotify:track:1MiUVjoHt4jiskDrt2ZHrq","LIL MORTY","Я пиздатый","Lil Morty",20,65,20,"55234"
55,"spotify:track:1GOiMxQXZUzjzH0Sxpck0B","kizaru","Дежавю","KISS KOALA",1,68,77,"54910"
56,"spotify:track:1Wp1sOiUDAQj7hPfq0Rt9k","Max Korzh","Снадобье","Макс Корж",16,16,2,"53859"
57,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",40,58,10,"53067"
58,"spotify:track:2gQPv5jvVPqU2a9HhMNO1v","BoyWithUke","Toxic","Republic Records",13,51,11,"53029"
59,"spotify:track:1w6yKhAgRhIaZhsWEay2H3","ROCKET","Infinite Tsukuyomi","Still Only",26,77,71,"50912"
60,"spotify:track:1esZgaqm0YKN87CIP3orJ3","Minelli","Rampampam","Global Records",3,74,30,"50864"
61,"spotify:track:6WX6YUtobLydEjuvFqVggj","Miyagi & Andy Panda, TumaniYO","Brooklyn","Hajime Records",29,71,76,"50139"
62,"spotify:track:2uFaJJtFpPDc5Pa95XzTvg","Dean Martin","Let It Snow! Let It Snow! Let It Snow!","Capitol Records",13,97,8,"50012"
63,"spotify:track:3VeWIV9WTXUl8PcOusFjYv","Кишлак","Я уёбываю в джаз","KISS KOALA",63,124,2,"49947"
64,"spotify:track:320b8n5Ew9RgzDP67tVIx1","Scally Milano, LOVV66","Буква Х","AMC MUSIC",64,75,2,"49840"
65,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Juggernaut Music Group",61,79,62,"48601"
66,"spotify:track:1AbuUhtugvlVM4N6EZUjyz","zhanulka","ты похож на кота","Columbia Local",66,-1,1,"48450"
67,"spotify:track:2diJF8UbIsmOilJU3BTTyM","Twinky","Ghoul","OOO Universal Music",31,80,13,"48308"
68,"spotify:track:5XFPXH2ieaL05Xgsati1JJ","ROCKET","She Wants","Still Only",51,83,38,"48216"
69,"spotify:track:7vbXtUsr3lSZtBzwL6lpVg","Big Baby Tape, kizaru","5 Nights Crazy","KISS KOALA",7,73,10,"47633"
70,"spotify:track:5sJt5rmSaKTQyAymKx6e1W","DSPRITE","Погоди","Black Beats",24,62,5,"47424"
71,"spotify:track:6Tdzv9TdvBNcRvMbuz6DYL","BALKON","Ведьмы","BALKON",48,72,3,"47048"
72,"spotify:track:79i617mqpQLwUs3WTokYX9","Benedixhion","toxin","sadboisonlyclub",8,85,59,"46841"
73,"spotify:track:0i8YObgqnjZYoYJOQbwLHq","Poshlaya Molly, Eldzhey","Дом Периньон","DROPBLED",5,81,15,"46665"
74,"spotify:track:4vvkdSOfuve7DBxsrVzVDP","Big Baby Tape, kizaru","Slip & Slide","KISS KOALA",9,76,10,"46595"
75,"spotify:track:7uoFMmxln0GPXQ0AcCBXRq","Sia","Snowman","Monkey Puzzle/Atlantic",42,99,7,"45704"
76,"spotify:track:61Se5kNrWTWmCDaRpsFDjd","Kush Lovers","20К","Союз Мьюзик",76,98,2,"45560"
77,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",1,88,32,"45544"
78,"spotify:track:4DcMqvjv5pcYVu9jTBhpDH","ROCKET","Инкассатор","Still Only",65,95,77,"45521"
