rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4PGzoH4hL1vORGOTxHdWjB","INSTASAMKA","ЗА ДЕНЬГИ ДА","NaMneCash Music",1,3,4,"181899"
2,"spotify:track:61BaxM1NIcadLu3gtWm2uT","SadSvit, СТРУКТУРА ЩАСТЯ","Силуети","Svit music",1,1,8,"173868"
3,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",1,2,6,"163031"
4,"spotify:track:0ePYZtHRuP9NZqlkEDCaC4","Scally Milano, 163ONMYNECK, MAYOT","Йупи Йо","Scally Milano",4,-1,1,"125539"
5,"spotify:track:3h9XZd7ZON6LubTC3AqwzT","Parfeniuk","Провела екскурсію","ShowTime Music",5,15,2,"119585"
6,"spotify:track:5BY094QwLvZFh737Ytvgpy","Big Baby Tape","Like A G6","Effective Records",6,-1,1,"114570"
7,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",7,7,23,"102032"
8,"spotify:track:3XOcTnIA8aGpil8h76eH7N","zxcursed","mana break","A+",2,8,10,"101852"
9,"spotify:track:4Yzlz45QgjUKZmN2KrK4AP","Skofka","Чути гімн","Columbia Local",1,5,21,"101659"
10,"spotify:track:11BKm0j4eYoCPPpCONAVwA","Lady Gaga","Bloody Mary","Interscope",3,4,4,"101030"
11,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",3,6,36,"100572"
12,"spotify:track:4FeSPOzJXBGH5HMDzjIwwb","TVORCHI","Heart of Steel","Tvorchi",12,166,2,"86430"
13,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,9,13,"84672"
14,"spotify:track:7krNeHssTmY3ijTox4OBbD","DOROFEEVA","Щоб не було","MOЗGI Entertainment",11,11,2,"84065"
15,"spotify:track:37F7E7BKEw2E4O2L7u0IEp","Freddie Dredd","Limbo","Doomshop Records/RCA Records",8,10,8,"83527"
16,"spotify:track:4MQmxIxM5CXKjdq4IrCWhd","SadSvit","Касета","Independent",12,12,36,"78759"
17,"spotify:track:7jg52iX5YV4aZSsHu30Mb6","Oxxxymiron","THE STORY OF ALISHER","Oxxxymiron",17,-1,1,"74858"
18,"spotify:track:33s2G0h9EOdyaKlKr15ngE","Skofka, KALUSH","Батьківщина","Columbia Local",18,-1,1,"74452"
19,"spotify:track:5Zlb01Jcn0Ld49zazzZJSB","TWISTED, Oliver Tree","WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1","Artist Partner Group – FF10",11,13,8,"72224"
20,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",2,14,78,"70763"
21,"spotify:track:21LIoC4ZxT3F8xq9gidNbX","xxxmanera","Never Broke Again","steezy",1,16,27,"69663"
22,"spotify:track:6JrGELYUIbZvBV74j4Q5LN","ENLEO","інша любов","SADNESS RCRDS",6,24,23,"67981"
23,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",2,18,10,"67764"
24,"spotify:track:5Sk39LuvdwuvL84jD01Dum","MUPP, Sadfriendd","vendetta!","Sadfriendd x MUPP",3,19,30,"66404"
25,"spotify:track:4oHEJ5KPf9hW1pDyQYIRIw","Aarne, BUSHIDO ZHO, ANIKV","Тесно","AA Team",1,20,20,"64371"
26,"spotify:track:4s1vFYAbvaSsy0gIjuqPuf","SOSKA 69","Басы долбят","KISS KOALA",6,17,8,"63292"
27,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",8,22,32,"63223"
28,"spotify:track:5FkJHVudUByVjanCqFXRql","Mr.Kitty","After Dark","Juggernaut Music Group",12,23,113,"63129"
29,"spotify:track:7mLWNwcvwRdEviz6SfYp8A","g3ox_em","GigaChad Theme - Phonk House Version","g3ox_em",26,26,9,"61349"
30,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",5,25,38,"60591"
31,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",16,21,116,"60096"
32,"spotify:track:7itGrDB969S4fJc4GDodiA","INSTASAMKA","POPSTAR","NaMneCash Music",1,28,14,"58836"
33,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",14,27,66,"58412"
34,"spotify:track:2BH3j05ZXWr5PR30sW079d","Isolate.exe","Crystals","Isolate.exe",34,44,16,"57042"
35,"spotify:track:7g9brrz6mR8dm1kwYFwnRx","YARMAK, ALISA","ДИКЕ ПОЛЕ","Yarmak music",29,30,30,"56862"
36,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH, Kalush Orchestra","Stefania (Kalush Orchestra)","Columbia Local",1,29,45,"55770"
37,"spotify:track:7mCemRaeeezaB97MPPkhfG","BALKON","Відьми","BALKON",37,-1,1,"54801"
38,"spotify:track:3MqaB8TndvgRZ1QSQXH7J7","SHUMEI","Біля тополі","Art Sound Media",24,33,25,"54411"
39,"spotify:track:72iyEnh9p6PoyJoEnAJDjO","SCXR SOUL, Sx1nxwy","DEMONS IN MY SOUL","SCXR SOUL",39,52,11,"54188"
40,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",34,34,43,"53933"
41,"spotify:track:3gVhsZtseYtY1fMuyYq06F","Rammstein","Sonne","Vertigo Berlin",26,36,15,"53621"
42,"spotify:track:3EkGH0yreaWUFAXBil8rmH","KALUSH, Skofka","Файна (feat. Skofka)","Columbia Local",13,31,42,"52921"
43,"spotify:track:489WGIBYPf4nallnJOHpK6","Chico, Qatoshi","Ластівки","Naprocente music",7,47,27,"52292"
44,"spotify:track:2WzAAerBvZvvFXgUpSwHZ9","PLAYAMANE, Nateki","MIDNIGHT","PLAYAMANE",6,42,32,"51423"
