rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1D4ptfeNRLRWu52uzIXW5d","INSTASAMKA","LIPSI HA","NaMneCash Music",1,1,3,"162524"
2,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",1,2,13,"120003"
3,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,3,10,"115719"
4,"spotify:track:6sqUZDHeNvQ6OAheh0PZ7i","SLAVA MARLOW, HammAli & Navai","БРИЛЛИАНТЫ VVS","Atlantic Records Russia",4,-1,1,"99972"
5,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,4,12,"97647"
6,"spotify:track:3mcw4dkjfzj5B4Ago9NSmN","uniqe, nkeeei, ARTEM SHILOVETS","ТОЛПЫ КРИЧАТ","steezy",6,-1,1,"96149"
7,"spotify:track:3Qo7FF0WmgEt3JG3B2qngy","Платина, OG Buda, MAYOT","Abu Dhabi Ba6y","РНБ КЛУБ",6,6,7,"89213"
8,"spotify:track:3FeVmId7tL5YN8B7R3imoM","Coldplay, BTS","My Universe","Parlophone UK",8,-1,1,"81427"
9,"spotify:track:21BrQW6GdRcMxvrwhIHqzR","Платина, Big Baby Tape","Веном","РНБ КЛУБ",7,8,7,"79512"
10,"spotify:track:0eu4C55hL6x29mmeAjytzC","Oliver Tree","Life Goes On","Atlantic Records",10,10,3,"78081"
11,"spotify:track:1GTyZID5IGOXOAUoQkVlWo","Geegun, Egor Kreed, The Limba, blago white, OG Buda, Timati, SODA LUV, GUF","На чиле","KISS KOALA",2,7,10,"78038"
12,"spotify:track:1KYh38VBz1Mkmap5L4Ilxv","VisaGangBeatz, MAYOT, SEEMEE, 163ONMYNECK","БИЗНЕС","cplus",12,-1,1,"74034"
13,"spotify:track:3kxqYEJ96YrLS8rs0BMBn0","JONY, The Limba","Босс","Atlantic Records Russia",13,-1,1,"73032"
14,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",14,18,16,"71604"
15,"spotify:track:175xPRXSrf7RSWdjAhc6oD","Nikitata","ТАЙМАУТ","Goost Music",11,11,3,"70004"
16,"spotify:track:12fesH0q1KEBKyg0G9Yi2E","SLAVA MARLOW, The Limba, Eldzhey","Она тебя любит","Atlantic Records Russia",1,12,6,"69967"
17,"spotify:track:2L2iWhBsyosVcxx36iurfa","fem.love","1000-7","A+",9,13,13,"69820"
18,"spotify:track:56oCqAlqxfRNMBDDtq395J","Egor Kreed, MAYOT","PUFF (feat. MAYOT)","Warner Music Russia",13,14,7,"68280"
19,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",1,16,19,"67159"
20,"spotify:track:0NPRigM2lZGGFW3OD48g43","Wellboy","Гуси","PAPA MUSIC",15,21,14,"64343"
21,"spotify:track:3DjXe9iSnGVFZFWlkxIni5","INSTASAMKA","JUICY","NaMneCash Music",6,9,10,"63811"
22,"spotify:track:1hfISzdAwnywAKxaSpfloo","Skryptonite","Положение","Gazgolder Records",10,26,64,"63291"
23,"spotify:track:777TceiGuC1kjvAiVAHvTo","10AGE","Зоопарк","Legacy Music",23,40,2,"61940"
24,"spotify:track:1esZgaqm0YKN87CIP3orJ3","Minelli","Rampampam","Global Records",3,17,17,"61010"
25,"spotify:track:0i8YObgqnjZYoYJOQbwLHq","Poshlaya Molly, Eldzhey","Дом Периньон","DROPBLED",22,22,2,"60615"
26,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",20,20,6,"59516"
27,"spotify:track:76uQsHqCk7tPQPlxdhYpyL","SLAVA MARLOW, MORGENSHTERN","Я НЕ ЗНАЮ","Atlantic Records Russia",5,5,2,"59242"
28,"spotify:track:1ghdJUMhmLEpUitNwyNMWH","fem.love","Фотографирую закат","A+",8,27,26,"58966"
29,"spotify:track:6Abmb1Nh7Bc5U6o4iEgSDH","HammAli & Navai","Птичка","Atlantic Records Russia",9,31,19,"58807"
30,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,25,19,"58380"
31,"spotify:track:2mvP5OEZXWL0QefQSq7z6b","GUMA","Стеклянная","Warner Music Russia",6,23,8,"58241"
32,"spotify:track:2DYzsMQpO7xOw7b3JwyIWP","Korol i Shut","Кукла колдуна","United Music Group",5,28,62,"57630"
33,"spotify:track:6WX6YUtobLydEjuvFqVggj","Miyagi & Andy Panda, TumaniYO","Brooklyn","Hajime Records",29,32,63,"57038"
34,"spotify:track:5MAQgObkQo8YHICDRqdYcg","MORGENSHTERN, SODA LUV, OG Buda, blago white, MAYOT","Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","Atlantic Records Russia",1,24,20,"56893"
35,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,19,27,"56619"
36,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",15,15,2,"56180"
37,"spotify:track:0qOeaKEGBuBP7c0udCx1tf","FrozenGangBeatz, SODA LUV, RVMZES","Запятые","WHY Z MUSIC / А+",37,60,2,"55158"
38,"spotify:track:0HpoU9wzx6lhK1jIa6cVU3","escape, Даня Милохин","so low","Atlantic Records Russia",30,30,4,"54570"
39,"spotify:track:57V0VhEg1CAkPXeaCLikNW","shadowraze","juggernaut (Prod. by PLVSTIC)","Союз Мьюзик",33,33,7,"54267"
40,"spotify:track:0nqWnlvSpyqbk2Xp9mncVL","BRANYA, MACAN","Пополам","GOLDEN SOUND",6,29,16,"53296"
41,"spotify:track:0sZ3fmbfUS5tMVzhXLXXPE","Dzharakhov, Markul","Я в моменте","Warner Music Russia",3,37,17,"51659"
42,"spotify:track:03TPcM9vWUmc8y6LkJAzwJ","АДЛИН","No Love","Союз Мьюзик",42,158,2,"50798"
43,"spotify:track:1GOiMxQXZUzjzH0Sxpck0B","kizaru","Дежавю","KISS KOALA",1,39,64,"50114"
44,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",13,38,14,"49991"
45,"spotify:track:1MiUVjoHt4jiskDrt2ZHrq","LIL MORTY","Я пиздатый","Lil Morty",45,51,7,"49379"
46,"spotify:track:75MNhvTCCKsST3YqqUiU9r","Ed Sheeran","Shivers","Atlantic Records UK",36,36,3,"48978"
47,"spotify:track:2Z0OcpA4i1KayJbXn800le","Skryptonite","Чистый - OST «Псих»","Musica36",3,46,42,"48977"
48,"spotify:track:5m5rShfBQk4UpG7vpsEKzf","Miyagi & Andy Panda","Minor","Hajime Records",7,42,63,"48312"
49,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",25,47,19,"47478"
50,"spotify:track:3UlGli59XnXKdaocUFn0gw","10AGE","Пушка","Legacy Music",13,44,15,"46751"
51,"spotify:track:3Hn9fQkOSSuq4YFa6QK6ot","OG Buda, blago white","Фэм","KISSKOALA",51,-1,1,"46195"
52,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment/Interscope Records",52,173,3,"46008"
53,"spotify:track:0f4UclgBuRE21KDUqYGQ8U","Max Korzh","Не твой","Макс Корж",2,34,5,"45809"
54,"spotify:track:6HHcW1tddM6sHVBBjOkeIb","MORGENSHTERN","DINERO","Atlantic Records Russia",9,41,18,"45252"
55,"spotify:track:41bGn6u78I8eNZg86tx3vp","Skryptonite","Москва любит...","Musica36",12,48,64,"44884"
56,"spotify:track:1xASDcZcb869OkSu86Wbw8","вышел покурить","кладбище","Dying sky",55,55,19,"44587"
57,"spotify:track:3uCth4TIWyeQDnj3YbAVQB","Miyagi & Andy Panda","Патрон","Hajime Records",5,53,26,"43978"
58,"spotify:track:776AftMmFFAWUIEAb3lHhw","Måneskin","ZITTI E BUONI","RCA Records Label",1,49,19,"43890"
59,"spotify:track:4G4Nxu6AtSSEP68n3yUksh","Egor Kreed, OG Buda","ЗДРАВСТВУЙТЕ (feat. OG Buda)","Warner Music Russia",2,45,14,"43519"
60,"spotify:track:1tzTlRMcw9xDqrNRzj3H2g","DEAD BLONDE","Мальчик на девятке","DEAD BLONDE",2,50,24,"43035"
61,"spotify:track:2IMrzJTRHGndoUbM39QIJ7","shadowraze, GENJUTSU","1000-7","Союз Мьюзик",53,56,14,"42564"
62,"spotify:track:5XFPXH2ieaL05Xgsati1JJ","ROCKET","She Wants","Still Only",51,58,25,"42556"
63,"spotify:track:0pJQI29n8ZfWTTUWn6Ncvb","Pornofilmy","Я так соскучился","ПОРНОФИЛЬМЫ",56,68,42,"42320"
64,"spotify:track:3ocM3UaX6msYLAjD9atnEA","Egor Kreed, Dzharakhov, BUSTER","САМЫЙ ХУДШИЙ ТРЕК (feat. Джарахов, Buster)","Warner Music Russia",64,-1,1,"42279"
65,"spotify:track:5mnpMkzp3Z2RCCbwIEZCbv","PlayaPhonk","Phonky Town","Arista Records",14,64,21,"42006"
66,"spotify:track:1w6yKhAgRhIaZhsWEay2H3","ROCKET","Infinite Tsukuyomi","Still Only",26,67,58,"41251"
67,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",38,54,9,"40582"
68,"spotify:track:1nINIHobpPWexRP8ABH8bT","10AGE","Нету интереса","Legacy Music",2,63,28,"40169"
69,"spotify:track:3SQV31uJMStclklmwxQHe1","Ghostface Playa, fkbambam","KILLKA","Ghostface Playa",69,84,11,"40068"
70,"spotify:track:0Mfjy6p9vZsfzbQReWdooZ","ooes","ночь","rabstvo",27,61,20,"40059"
71,"spotify:track:4wT9xC986HKw6LMObnOLfr","SODA LUV","Тысячи рук","SODA LUV",10,65,21,"39196"
72,"spotify:track:2z8QxqQ6Kesq4NFfi7A638","Skryptonite, 104","Цепи","Gazgolder Records",59,69,64,"39141"
73,"spotify:track:4DcMqvjv5pcYVu9jTBhpDH","ROCKET","Инкассатор","Still Only",65,78,64,"39128"
74,"spotify:track:7Eyfmn0zcgcjGUrWlFdgqa","Galibri & Mavik","Федерико Феллини","FOMENKOF",28,57,15,"38076"
75,"spotify:track:79i617mqpQLwUs3WTokYX9","Benedixhion","toxin","sadboisonlyclub",8,81,46,"38015"
76,"spotify:track:4CeBKWWLXMrQMFsP0Q0K3V","Miyagi & Andy Panda","Kosandra","Hajime Records",52,79,64,"37689"
77,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,77,64,"37443"
78,"spotify:track:0cOftxEWGyu4XAqEsqmdWS","ooes","зима","rabstvo",15,72,21,"37349"
79,"spotify:track:1aAcW69jxv3pp3I84oZGqP","Korol i Shut","Дурак и молния","United Music Group",12,70,38,"37162"
80,"spotify:track:0si4hbWQ2OwdxKLF6x5xEX","MORGENSHTERN","ARISTOCRAT","Atlantic Records Russia",3,59,18,"37014"
81,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",81,95,11,"36997"
82,"spotify:track:3euwIpljAgZ47S6XnOWaA9","SODA LUV, WHY, BERRY","Бигасс","SODA LUV",7,71,30,"36890"
