rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:27NovPIUIRrOZoCHxABJwK","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,1,4,"166615"
2,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,2,6,"153793"
3,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",3,4,7,"120482"
4,"spotify:track:1GTyZID5IGOXOAUoQkVlWo","Geegun, Egor Kreed, The Limba, blago white, OG Buda, Timati, SODA LUV, GUF","На чиле","KISS KOALA",2,3,4,"107280"
5,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",1,7,13,"98547"
6,"spotify:track:1esZgaqm0YKN87CIP3orJ3","Minelli","Rampampam","Global Records",3,6,11,"87086"
7,"spotify:track:21BrQW6GdRcMxvrwhIHqzR","Платина, Big Baby Tape","Веном","РНБ КЛУБ",7,-1,1,"87051"
8,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,5,13,"86799"
9,"spotify:track:2mvP5OEZXWL0QefQSq7z6b","GUMA","Стеклянная","Warner Music Russia",9,57,2,"81663"
10,"spotify:track:6M3PsepEj5gyJoIi7Xvr7u","The Weeknd","Take My Breath - Single Version","XO / Republic Records",8,8,2,"76976"
11,"spotify:track:3Qo7FF0WmgEt3JG3B2qngy","Платина, OG Buda, MAYOT","Abu Dhabi Ba6y","РНБ КЛУБ",11,-1,1,"76505"
12,"spotify:track:2L2iWhBsyosVcxx36iurfa","fem.love","1000-7","A+",9,12,7,"72654"
13,"spotify:track:0si4hbWQ2OwdxKLF6x5xEX","MORGENSHTERN","ARISTOCRAT","Atlantic Records Russia",3,10,12,"72548"
14,"spotify:track:6Abmb1Nh7Bc5U6o4iEgSDH","HammAli & Navai","Птичка","Atlantic Records Russia",9,14,13,"69780"
15,"spotify:track:5MAQgObkQo8YHICDRqdYcg","MORGENSHTERN, SODA LUV, OG Buda, blago white, MAYOT","Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","Atlantic Records Russia",1,9,14,"69206"
16,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,17,21,"68861"
17,"spotify:track:0sZ3fmbfUS5tMVzhXLXXPE","Dzharakhov, Markul","Я в моменте","Warner Music Russia",3,15,11,"68387"
18,"spotify:track:5q5LkoyUzpD5270U7eYhee","Платина","Сердце для шалав","РНБ КЛУБ",18,58,2,"68108"
19,"spotify:track:776AftMmFFAWUIEAb3lHhw","Måneskin","ZITTI E BUONI","RCA Records Label",1,13,13,"66027"
