rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0r9fpWPI6z3V3YZXIiVaNC","Big Baby Tape, kizaru","99 Problems","KISS KOALA",1,2,2,"432478"
2,"spotify:track:16AzcbKli3UQsxj491hJLQ","Big Baby Tape, kizaru","Bandana","KISS KOALA",1,1,2,"382005"
3,"spotify:track:4umjgYILQbHyV41ZmaemQm","Big Baby Tape, kizaru","Million","KISS KOALA",3,3,2,"377110"
4,"spotify:track:6h2f5GrfpXo6eZCxUdzvF2","Big Baby Tape, kizaru","Mama Makusa","KISS KOALA",4,4,2,"239563"
5,"spotify:track:0h3jDrGXvkETn0xJRcZOJ9","Big Baby Tape, kizaru","Dirrt","KISS KOALA",5,5,2,"216088"
6,"spotify:track:66jiJ5DX54pWNBL2Vt2859","Big Baby Tape, kizaru","Big Tymers","KISS KOALA",6,6,2,"197230"
7,"spotify:track:5Wr1F6BoB9BQ4wtlefGpK3","Big Baby Tape, kizaru","So Icy Nihao","KISS KOALA",7,8,2,"187330"
8,"spotify:track:7vbXtUsr3lSZtBzwL6lpVg","Big Baby Tape, kizaru","5 Nights Crazy","KISS KOALA",7,7,2,"178393"
9,"spotify:track:4vvkdSOfuve7DBxsrVzVDP","Big Baby Tape, kizaru","Slip & Slide","KISS KOALA",9,9,2,"160245"
10,"spotify:track:5shMiLCYjeNGe1WKikPg6T","Big Baby Tape, kizaru","Ride Or Die","KISS KOALA",10,12,2,"150573"
11,"spotify:track:2rowi7dF3AqhugMtAnvQmP","GONE.Fludd","TRAXXXMANIA","KISS KOALA",1,15,4,"146481"
12,"spotify:track:5Pjmv35PxL2ByHadh1oRxN","Big Baby Tape, kizaru","Ladidadida","KISS KOALA",10,10,2,"142524"
13,"spotify:track:0VVa11kcXBGm99NgSiF8Rx","Big Baby Tape, kizaru","Andrew Story","KISS KOALA",11,11,2,"142383"
14,"spotify:track:07OqyOeHz7LOGVuXUx4pr3","Платина, Дора","Сан Ларан","РНБ КЛУБ",14,-1,1,"141692"
15,"spotify:track:2A6bj4o6EMJdCdXzcjMl72","Big Baby Tape, kizaru","Errbody Sleeping","KISS KOALA",13,13,2,"129396"
16,"spotify:track:3U8JCs5aH9wLpQR08BuPJA","Big Baby Tape, kizaru","Bon Voyage","KISS KOALA",14,14,2,"117903"
17,"spotify:track:5X1FYw7MXEgnPmQAYwAa0q","quiizzzmeow","Aomine Daiki","SAVAGE$TATION",1,16,5,"103721"
18,"spotify:track:2gQPv5jvVPqU2a9HhMNO1v","BoyWithUke","Toxic","Republic Records",18,22,3,"103074"
19,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",1,20,18,"92290"
20,"spotify:track:0i8YObgqnjZYoYJOQbwLHq","Poshlaya Molly, Eldzhey","Дом Периньон","DROPBLED",5,19,7,"91330"
21,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",6,21,21,"90098"
22,"spotify:track:6m7QUKRStA95DXM4IS8eFD","Egor Kreed","LAMBO URUS","Warner Music Russia",4,17,3,"89402"
23,"spotify:track:3mcw4dkjfzj5B4Ago9NSmN","uniqe, nkeeei, ARTEM SHILOVETS","ТОЛПЫ КРИЧАТ","steezy",1,18,6,"87263"
24,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,24,15,"84525"
25,"spotify:track:1D4ptfeNRLRWu52uzIXW5d","INSTASAMKA","LIPSI HA","NaMneCash Music",1,23,8,"80950"
26,"spotify:track:3yCKABoZU3FVFuyVBc5VlM","rizza, Sqwore","плачь","Adam Music",19,29,4,"75031"
27,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,30,17,"72604"
28,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",14,28,11,"71923"
29,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment/Interscope Records",10,27,8,"71745"
30,"spotify:track:4Wlqtlrx5oMGLQTDMkVPTM","SLAVA MARLOW, Aarne","БИЗНЕС ВУМЕН","Atlantic Records Russia",26,26,3,"70295"
31,"spotify:track:2diJF8UbIsmOilJU3BTTyM","Twinky","Ghoul","OOO Universal Music",31,35,5,"65885"
