rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:12fesH0q1KEBKyg0G9Yi2E","SLAVA MARLOW, The Limba, Eldzhey","Она тебя любит","Atlantic Records Russia",1,-1,1,"159555"
2,"spotify:track:27NovPIUIRrOZoCHxABJwK","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,1,5,"151389"
3,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,2,7,"135084"
4,"spotify:track:5X33A2X2OuQXUOKhawWCMm","Skryptonite, Райда","Baby mama","Musica36",3,3,8,"121767"
5,"spotify:track:1GTyZID5IGOXOAUoQkVlWo","Geegun, Egor Kreed, The Limba, blago white, OG Buda, Timati, SODA LUV, GUF","На чиле","KISS KOALA",2,4,5,"118536"
6,"spotify:track:2mvP5OEZXWL0QefQSq7z6b","GUMA","Стеклянная","Warner Music Russia",6,9,3,"89901"
7,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",1,5,14,"89116"
8,"spotify:track:1esZgaqm0YKN87CIP3orJ3","Minelli","Rampampam","Global Records",3,6,12,"85413"
9,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,8,14,"78548"
10,"spotify:track:6Abmb1Nh7Bc5U6o4iEgSDH","HammAli & Navai","Птичка","Atlantic Records Russia",9,14,14,"71481"
11,"spotify:track:2L2iWhBsyosVcxx36iurfa","fem.love","1000-7","A+",9,12,8,"71386"
12,"spotify:track:1Kb7obMqEf8I0S84zwOl7C","OBLADAET, JEEMBO","HELLA PLAYERS","KILL ME, OBLADAET",12,-1,1,"70367"
13,"spotify:track:0si4hbWQ2OwdxKLF6x5xEX","MORGENSHTERN","ARISTOCRAT","Atlantic Records Russia",3,13,13,"68711"
14,"spotify:track:5MAQgObkQo8YHICDRqdYcg","MORGENSHTERN, SODA LUV, OG Buda, blago white, MAYOT","Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","Atlantic Records Russia",1,15,15,"66615"
15,"spotify:track:0NPRigM2lZGGFW3OD48g43","Wellboy","Гуси","PAPA MUSIC",15,29,9,"64053"
16,"spotify:track:0sZ3fmbfUS5tMVzhXLXXPE","Dzharakhov, Markul","Я в моменте","Warner Music Russia",3,17,12,"63358"
17,"spotify:track:21BrQW6GdRcMxvrwhIHqzR","Платина, Big Baby Tape","Веном","РНБ КЛУБ",7,7,2,"63145"
18,"spotify:track:3DjXe9iSnGVFZFWlkxIni5","INSTASAMKA","JUICY","NaMneCash Music",18,28,5,"63083"
19,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,16,22,"62733"
20,"spotify:track:0nqWnlvSpyqbk2Xp9mncVL","BRANYA, MACAN","Пополам","GOLDEN SOUND",6,20,11,"62524"
21,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",13,21,9,"61733"
22,"spotify:track:6M3PsepEj5gyJoIi7Xvr7u","The Weeknd","Take My Breath - Single Version","XO / Republic Records",8,10,3,"61477"
